id,titulo,autor,precio,ideditorial
1,La Bestia,Carmen Mola,290.500000,1
2,Campo Jurasico,Hugo Quinterno,1870.199951,3
3,Enseñar distinto,Melina Furman,179.550003,2
4,El secreto de Agatha,Marie Benedict,2048.399902,1
5,Los muertos no resucitan,Ray Bradbury,5201.500000,4
6,Save Us,Mona Kasten,3736.160156,1
7,La dama oscura,Cristian Perez,1250.750000,6
8,El viento que arrasa,Selva Almada,3450.000000,6
9,Un segundo antes,Veronica Molina,175.000000,1
12,La viuda,Jose Saramago,4300.000000,6
13,El destape,Natalia Milanesio,1450.000000,2
14,Amor y anarquismo,Laura Fernandez,140.399994,2
15,Ghiblioteca,Jake Cunningham,2305.750000,2
16,Los besos,Manuel VIlas,2160.399902,1
17,Años de sequia,Janne Harper,1850.750000,5
18,De la ceniza volveras,Ray Bradbury,3560.500000,4
19,Vivir la fe,Pablo Seman,1490.500000,2
20,Rebelion en la granja,George Orwell,6800.000000,4
21,Filosofia y vida,Olaf Stapleson,3450.000000,3
